order_id,order_date,customer_id,product_id,product_name,category,quantity,unit_price,discount,total_amount,payment_method,store_location,order_status
O00001,13-02-2025,C0019,P210,Air Conditioner,Electronic,1,9314,0.05,,Cash,Pune,Completed
O00002,22-01-2025,C0349,P207,Microwave Oven,Fashon,-1,abc,0.05,,Credit Card,Chennai,Returned
O00003,2025-01-06,C0571,,Refrigerator,electronics,-1,abc,0.05,,Credit Card,Pune,Cancelled
O00004,2025-01-13,C0426,P201,iPhone 15,Fashon,3,61749,0.05,,,Pune,Completed
O00005,2025/02/24,C0640,P201,iPhone 15,electronics,3,abc,10%,,Debit Card,Hyderabad,Returned
O00006,2025-02-16,C0157,P205,Levi Jeans,Fashion,3,55005,10%,,Credit Card,Delhi,Cancelled
O00007,2025-01-15,C0336,P203,Sony Headphones,electronics,1,19012,0.1,,Credit Card,Bangalore,completed
O00008,2025-03-12,C0597,P202,Samsung TV,Fashon,2,abc,0.1,,,Hyderabad,Cancelled
O00009,2025/03/26,C0103,P207,Microwave Oven,Electronics,1,abc,0,,Credit Card, ,Completed
O00010,2025-03-11,C0110,P208,Refrigerator,Fashon,1,abc,5%,,Debit Card,Mumbai,Cancelled
O00011,17-01-2025,C0173,P203,Sony Headphones,Home & Living,1,abc,0.05,,,Chennai,Returned
O00012,12-03-2025,C0006,P209,Office Chair,Home & Living,3,76588,5%,,Cash,Chennai,Cancelled
O00013,2025/02/06,C0353,P203,Sony Headphones,Electronics,-1,abc,10%,,Cash,Hyderabad,Returned
O00014,02-02-2025,C0002,P202,Samsung TV,Fashon,-1,78429,,,Credit Card,Chennai,completed
O00015,10/01/2025,C0729,P201,iPhone 15,Electronics,2,33767,,,,Delhi,completed
O00016,27/01/2025,C0735,P202,Samsung TV,Home and Living,1,55179,0.1,,Credit Card,Pune,Cancelled
O00017,23-03-2025,C0421,P207,Microwave Oven,Home and Living,3,59118,ten,,Debit Card,Lucknow,Returned
O00018,25/02/2025,C0972,P205,Levi Jeans,Home and Living,-1,abc,0,,Credit Card,Lucknow,Cancelled
O00019,05-02-2025,C0209,,Microwave Oven,Home and Living,1,38645,0.1,,,Mumbai,Returned
O00020,05/02/2025,C0357,P205,Levi Jeans,Fashion,2,59896,,,Debit Card,Lucknow,completed
O00021,07-03-2025,C0018,P204,Nike Shoes,Fashon,-1,51407,10%,,UPI,Mumbai,Cancelled
O00022,2025-03-14,C0883,P209,Office Chair,Home and Living,3,53915,0,,Debit Card,Kolkata,completed
O00023,30/03/2025,C0643,,Refrigerator,Electronic,1,20542,0.1,,Debit Card,Mumbai,Cancelled
O00024,2025/02/21,C0739,P207,Microwave Oven,Electronic,3,36643,,,Debit Card,Pune,Completed
O00025,12/02/2025,C0879,P206,HP Laptop,Electronics,3,62785,10%,,Credit Card,Mumbai,completed
O00026,2025-03-10,C0237,P207,Microwave Oven,Fashon,1,abc,5%,,Cash,Bangalore,completed
O00027,2025-02-02,C0756,P204,Nike Shoes,electronics,2,49611,0,,,Lucknow,completed
O00028,02-02-2025,C0096,P206,HP Laptop,Fashon,2,16568,ten,,Debit Card,Delhi,Returned
O00029,06-03-2025,C0837,P204,Nike Shoes,Fashion,-1,44351,0,,UPI,Pune,Returned
O00030,05-02-2025,C0570,P203,Sony Headphones,Home & Living,1,13780,,,Credit Card,Bangalore,completed
O00031,08/01/2025,C0848,P204,Nike Shoes,Electronics,2,abc,5%,,Debit Card,Pune,Cancelled
O00032,2025-02-18,C0855,P207,Microwave Oven,Electronic,2,9292,5%,,Cash,Mumbai,Completed
O00033,14/01/2025,C0783,P203,Sony Headphones,electronics,2,10596,5%,,,Kolkata,Cancelled
O00034,24-02-2025,C0908,P208,Refrigerator,electronics,2,78892,5%,,UPI,Hyderabad,completed
O00035,10/03/2025,C0949,P201,iPhone 15,Electronics,2,abc,5%,,Debit Card,Delhi,completed
O00036,25-03-2025,C0755,P209,Office Chair,Electronic,1,abc,5%,,Debit Card,Chennai,Completed
O00037,2025-03-09,C0521,P210,Air Conditioner,Electronic,1,32653,0.1,,Debit Card,Delhi,Returned
O00038,19/01/2025,C0503,P204,Nike Shoes,Fashon,2,29902,10%,,Credit Card,Pune,Returned
O00039,2025-01-02,C0169,P205,Levi Jeans,Home and Living,3,4926,ten,,Credit Card,Mumbai,Cancelled
O00040,13/01/2025,C0169,P210,Air Conditioner,electronics,1,11830,5%,,Credit Card, ,Completed
O00041,2025/01/15,C0737,P203,Sony Headphones,Electronics,3,abc,,,,Bangalore,Returned
O00042,2025-02-06,C0295,P208,Refrigerator,Fashon,1,20736,ten,,Cash,Lucknow,Completed
O00043,2025/02/18,C0046,P210,Air Conditioner,Home & Living,1,abc,0.05,,,Hyderabad,completed
O00044,04-02-2025,C0415,P207,Microwave Oven,Electronics,1,abc,0.05,,UPI,Hyderabad,completed
O00045,2025-03-02,C0804,P210,Air Conditioner,Fashon,-1,6488,,,,Kolkata,Returned
O00046,2025-01-09,C0633,P206,HP Laptop,Electronics,1,69920,0.05,,Cash,Hyderabad,Completed
O00047,24-03-2025,C0912,P209,Office Chair,Electronic,1,abc,ten,,,Chennai,Returned
O00048,2025-01-20,C0736,P204,Nike Shoes,Home & Living,1,abc,0.05,,UPI,Bangalore,Cancelled
O00049,2025/01/17,C0418,P205,Levi Jeans,Fashion,2,3714,5%,,Debit Card,Mumbai,Cancelled
O00050,2025/02/19,C0984,P205,Levi Jeans,Electronic,1,61550,ten,,UPI,Pune,Cancelled
O00051,2025/03/28,C0888,P201,iPhone 15,electronics,2,53858,,,Debit Card,Delhi,Completed
O00052,2025-02-07,C0482,P207,Microwave Oven,electronics,3,abc,ten,,Debit Card,Kolkata,completed
O00053,2025-03-31,C0851,P205,Levi Jeans,electronics,3,abc,10%,,Credit Card,Hyderabad,completed
O00054,2025/03/09,C0210,P204,Nike Shoes,Electronics,2,47538,ten,,Cash,Chennai,completed
O00055,2025-03-01,C0826,P202,Samsung TV,Electronic,1,abc,10%,,Debit Card, ,Completed
O00056,2025/03/24,C0647,P204,Nike Shoes,Fashion,-1,29414,5%,,Credit Card,Mumbai,Completed
O00057,01/03/2025,C0941,P210,Air Conditioner,Fashon,-1,abc,0,,Credit Card,Delhi,completed
O00058,2025-02-23,C0214,P201,iPhone 15,Fashon,1,77820,0.1,,Credit Card,Chennai,Returned
O00059,2025-03-18,C0342,P208,Refrigerator,Electronics,-1,abc,ten,,,Chennai,Returned
O00060,2025-02-09,C0377,P210,Air Conditioner,Home & Living,3,18553,0,,,Hyderabad,Completed
O00061,2025/03/03,C0553,P205,Levi Jeans,Home and Living,2,abc,10%,,Cash,Chennai,completed
O00062,31/01/2025,C0835,P203,Sony Headphones,Electronics,2,79900,0,,Credit Card,Hyderabad,Completed
O00063,2025/01/06,C0713,P205,Levi Jeans,electronics,2,abc,,,Debit Card,Lucknow,Returned
O00064,17/01/2025,C0439,,Microwave Oven,Electronics,1,69070,0,,Debit Card,Delhi,completed
O00065,20/01/2025,C0370,P207,Microwave Oven,Electronic,-1,12584,5%,,Credit Card,Bangalore,completed
O00066,12-03-2025,C0261,P206,HP Laptop,Home & Living,3,abc,10%,,Cash,Jaipur,completed
O00067,2025/01/31,C0637,,Nike Shoes,Fashon,3,39063,0,,Cash,Chennai,Cancelled
O00068,06-01-2025,C0306,P204,Nike Shoes,Home & Living,-1,73127,5%,,Credit Card,Delhi,Completed
